Model,Val Accuracy
Logistic Regression,0.7702564102564102
SVM,0.7692307692307693
AdaBoost,0.7692307692307693
Random Forest,0.7692307692307693
Naive Bayes (Gaussian),0.764102564102564
MLP,0.762051282051282
Bayesian Network (CategoricalNB),0.762051282051282
XGBoost,0.762051282051282
KNN,0.7569230769230769
Decision Tree,0.6041025641025641
